City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,avarua,-21.2078,-159.775,28.03,78,15,4.12,CK,1676779007
270,mugur-aksy,50.35,90.5,-9.15,57,99,2.16,RU,1676779007
271,sikonge,-5.6333,32.7667,18.54,85,100,1.82,TZ,1676779008
272,copiapo,-27.3667,-70.3333,18.83,71,1,0.49,CL,1676779008
273,buala,-8.145,159.5921,29.36,67,94,1.59,SB,1676778806
274,sao joao da barra,-21.6403,-41.0511,24.63,90,88,6.7,BR,1676779008
275,mtimbira,-8.7833,36.35,21.74,96,94,0.38,TZ,1676779008
276,palmer,42.1584,-72.3287,1.85,58,11,0.89,US,1676779008
277,dicabisagan,17.0818,122.4157,23.8,97,100,3.52,PH,1676779008
278,smeeni,44.9833,26.85,6.17,81,93,2.89,RO,1676779009
279,okhotsk,59.3833,143.3,-18.89,71,4,4.23,RU,1676779009
280,teahupoo,-17.8333,-149.2667,26.98,76,30,3.71,PF,1676779009
281,taoudenni,22.6783,-3.9836,21.17,16,4,4.54,ML,1676779009
282,barcelona,41.3888,2.159,13.64,59,0,3.6,ES,1676779009
283,sambava,-14.2667,50.1667,25.42,79,30,3.59,MG,1676779010
284,olafsvik,64.8945,-23.7142,1.9,92,100,5.37,IS,1676779010
285,uyuni,-20.4597,-66.825,9.37,44,91,3.76,BO,1676779010
286,hilo,19.7297,-155.09,20.62,97,75,4.12,US,1676779010
287,ballaghaderreen,53.9,-8.5833,7.64,99,87,1.79,IE,1676779010
288,lingao,19.9103,109.6859,22.78,72,88,3.94,CN,1676779011
289,guerrero negro,27.9769,-114.0611,15.3,70,100,3.55,MX,1676779011
290,pueblo nuevo,23.3833,-105.3833,10.29,44,1,2.76,MX,1676779011
291,arraial do cabo,-22.9661,-42.0278,24.26,92,100,7.13,BR,1676779011
292,torit,4.4133,32.5678,26.45,31,100,0.85,SS,1676779011
293,pedasi,7.5333,-80.0333,23.37,80,6,10.95,PA,1676779011
